,X1,X2,X3,X4,X5,X6,X7,X8
4/18/2012 9:40,0,0,0,0,0,0,0,0
4/18/2012 10:10,1.185,1.194,0.804,1.188,0.992,1.209,0.804,1.015
4/18/2012 10:40,1.185,1.395,1.608,1.188,1.39,1.209,1.608,1.218
4/18/2012 11:10,1.58,1.592,1.608,1.781,1.588,2.015,1.608,1.624
4/18/2012 11:40,2.173,2.388,2.412,2.376,2.382,2.418,2.614,2.436
4/18/2012 12:10,3.752,3.984,4.02,4.159,3.97,4.03,4.02,3.857
4/18/2012 12:40,2.963,2.589,2.814,2.969,2.977,3.224,2.814,2.639
4/18/2012 13:10,1.975,2.191,2.212,1.98,2.184,2.015,2.412,2.233
4/18/2012 13:40,2.172,2.388,2.412,2.376,2.382,2.418,2.21,2.03
4/18/2012 14:10,2.765,2.589,2.412,2.573,2.382,2.821,2.614,2.436
4/18/2012 14:40,3.358,2.987,3.218,3.168,3.573,3.224,3.416,3.451
4/18/2012 15:10,2.962,2.987,3.216,3.168,3.176,3.224,3.216,2.436
4/18/2012 15:40,1.383,1.395,1.408,1.188,1.588,1.411,1.608,1.218
4/18/2012 16:10,0.197,0.197,0.2,0.396,0,0.201,0.202,0
4/18/2012 16:40,0,0,0,0,0,0,0,0
4/25/2012 11:25,0,0,0,0,0,0,0,0
4/25/2012 11:55,3.16,3.783,3.62,3.761,3.97,4.03,4.02,3.045
4/25/2012 12:25,1.58,1.592,1.808,1.783,1.588,2.015,1.81,1.827
4/25/2012 12:55,2.37,2.987,2.816,2.969,3.176,3.022,3.014,2.233
4/25/2012 13:25,4.74,5.174,5.026,5.544,5.161,5.441,5.428,4.872
4/25/2012 13:55,2.765,2.987,3.016,3.168,3.176,3.627,3.216,2.842
4/25/2012 14:25,3.357,3.783,4.02,3.761,3.771,4.03,4.02,3.654
4/25/2012 14:55,3.95,4.579,4.622,4.356,4.169,4.836,4.624,4.466
4/25/2012 15:25,3.358,3.582,3.618,3.761,3.771,4.03,3.618,3.248
4/25/2012 15:55,1.58,1.395,1.608,1.584,1.588,1.814,1.608,1.624
4/25/2012 16:25,0.592,0.796,0.804,0.792,0.993,0.806,0.804,0.609
4/25/2012 16:55,1.185,1.395,1.006,1.188,1.191,1.41,1.408,1.015
4/25/2012 17:25,0.79,0.796,1.006,0.792,0.992,1.008,1.004,0.812
4/25/2012 17:55,0.395,0.398,0.2,0.197,0.199,0.201,0,0.203
4/25/2012 18:25,0,0,0,0,0,0,0,0
5/9/2012 16:50,0,0,0,0,0,0,0,0
5/9/2012 17:20,0.79,0.796,1.006,0.792,0.995,0.806,1.006,1.015
5/9/2012 17:50,1.185,1.194,1.206,1.188,1.393,1.612,1.206,1.015
5/9/2012 18:20,1.975,2.388,2.412,2.376,1.99,2.216,2.21,2.436
5/9/2012 18:50,1.58,1.592,1.608,1.584,1.791,1.612,1.81,1.421
5/9/2012 19:20,1.975,2.191,2.212,2.376,2.189,2.217,2.21,2.03
5/9/2012 19:50,2.963,2.983,3.014,2.969,2.985,3.224,3.016,2.842
5/9/2012 20:20,1.58,2.191,2.01,1.783,1.791,2.015,2.01,2.03
5/9/2012 20:50,1.185,0.993,0.804,1.188,1.194,1.209,1.206,0.812
5/9/2012 21:20,0.79,1.194,1.206,0.989,0.995,1.007,1.004,1.218
5/9/2012 21:50,0.988,0.997,1.206,0.991,0.995,1.008,1.006,0.812
5/9/2012 22:20,1.382,1.391,1.206,1.584,1.592,1.612,1.608,1.421
5/9/2012 22:50,1.185,1.395,1.206,1.188,1.194,1.209,1.206,1.015
5/9/2012 23:20,1.778,1.789,2.01,1.781,1.99,2.015,2.01,1.827
5/9/2012 23:50,2.37,2.388,2.412,2.575,2.388,2.418,2.412,2.436
5/10/2012 0:20,2.37,2.589,2.412,2.376,2.587,2.418,2.412,2.436
5/10/2012 0:50,2.37,2.388,2.814,2.772,2.587,2.821,2.814,2.436
5/10/2012 1:20,2.765,2.987,2.612,2.772,2.786,2.821,2.814,2.639
5/10/2012 1:50,1.185,1.194,1.006,0.991,0.995,1.209,1.206,1.015
5/10/2012 2:20,0,0,0,0,0,0,0,0
6/14/2012 23:25,0,0,0,0,0,0,0,0
6/14/2012 23:55,0.395,0.398,0.402,0.197,0.397,0.403,0.402,0.406
6/15/2012 0:25,0.987,1.194,1.006,0.991,0.992,1.008,1.006,1.015
6/15/2012 0:55,1.185,1.194,1.206,1.385,1.39,1.41,1.406,1.218
6/15/2012 1:25,2.37,2.786,2.612,2.772,2.58,2.821,2.814,2.436
6/15/2012 1:55,1.185,1.395,1.408,1.188,1.39,1.411,1.206,1.218
6/15/2012 2:25,1.975,2.388,2.412,2.376,2.382,2.418,2.412,2.233
6/15/2012 2:55,2.765,2.983,2.612,2.971,2.977,3.224,3.216,2.842
6/15/2012 3:25,2.37,2.589,2.814,2.573,2.382,2.821,2.614,2.233
6/15/2012 3:55,1.975,2.187,2.01,1.98,1.985,2.015,2.412,1.827
6/15/2012 4:25,2.568,2.987,3.016,3.168,3.176,3.426,3.216,3.045
6/15/2012 4:55,3.95,4.378,4.22,4.356,3.97,4.231,4.02,3.857
6/15/2012 5:25,1.58,1.99,2.01,1.584,1.985,2.015,2.01,1.827
6/15/2012 5:55,1.382,1.592,1.608,1.584,1.588,1.612,1.608,1.421
6/15/2012 6:25,0.395,0.398,0.402,0.396,0.397,0.403,0.2,0.203
6/15/2012 6:55,0,0,0,0,0,0,0,0
6/22/2012 13:00,0,0,0,0,0,0,0,0
6/22/2012 13:30,0.79,0.398,0.604,0.792,0.397,0.806,0.804,0.609
6/22/2012 14:00,1.777,1.592,1.406,1.584,1.588,1.41,1.608,1.218
6/22/2012 14:30,3.95,3.582,3.016,3.367,3.573,2.821,3.216,2.842
6/22/2012 15:00,2.765,2.388,2.412,2.376,2.581,2.418,2.212,2.233
6/22/2012 15:30,3.752,3.184,3.216,3.367,3.176,2.821,3.014,2.842
6/22/2012 16:00,3.752,2.585,2.412,2.772,2.581,2.418,2.614,2.233
6/22/2012 16:30,2.567,1.793,1.608,1.584,1.985,1.41,1.808,1.421
6/22/2012 17:00,1.975,1.391,1.206,1.584,1.191,1.008,1.408,1.015
6/22/2012 17:30,2.568,1.395,0.804,1.188,1.588,1.007,1.206,0.812
6/22/2012 18:00,2.567,1.789,1.608,1.584,1.787,1.612,1.81,1.015
6/22/2012 18:30,3.555,2.388,2.01,2.575,2.382,2.015,2.412,2.03
6/22/2012 19:00,1.975,1.592,1.206,1.385,1.588,1.209,1.608,0.812
6/22/2012 19:30,4.542,3.779,3.618,3.96,3.772,3.828,3.818,3.451
6/22/2012 20:00,2.765,2.589,2.412,2.179,2.382,2.015,2.614,2.03
6/22/2012 20:30,5.332,4.776,4.02,4.752,4.764,4.433,4.824,3.654
6/22/2012 21:00,3.752,3.582,3.418,3.763,3.573,3.224,3.618,2.842
6/22/2012 21:30,2.37,1.789,1.608,1.781,1.787,1.612,2.01,1.421
6/22/2012 22:00,1.58,0.997,1.004,0.991,1.191,1.007,1.006,0.812
6/22/2012 22:30,4.74,3.976,4.018,4.157,3.97,4.03,4.22,3.654
6/22/2012 23:00,5.924,5.178,4.626,4.951,4.963,4.232,5.026,4.263
6/22/2012 23:30,3.16,2.585,2.412,2.575,2.581,2.216,2.814,2.233
6/23/2012 0:00,2.172,1.99,2.01,1.98,1.985,1.612,1.608,1.624
6/23/2012 0:30,0.79,0.796,0.804,0.792,0.794,0.806,0.804,0.406
6/23/2012 1:00,0,0,0,0,0,0,0,0
7/6/2012 7:50,0,0,0,0,0,0,0,0
7/6/2012 8:20,3.95,4.177,3.818,3.96,3.97,4.231,4.02,3.654
7/6/2012 8:50,10.665,11.144,11.056,10.493,10.719,10.881,10.854,9.541
7/6/2012 9:20,5.53,5.371,5.628,5.743,5.756,5.642,5.628,5.278
7/6/2012 9:50,12.246,13.335,12.864,13.068,13.299,13.098,13.064,10.962
7/6/2012 10:20,4.148,4.181,4.422,4.752,4.367,4.433,4.422,3.857
7/6/2012 10:50,2.172,2.786,2.412,2.376,2.779,2.418,2.814,2.436
7/6/2012 11:20,4.74,4.579,4.824,4.752,4.764,4.836,4.622,3.857
7/6/2012 11:50,1.58,1.789,2.01,1.584,1.985,2.015,2.01,1.624
7/6/2012 12:20,1.58,1.592,1.408,1.584,1.588,1.612,1.608,1.218
7/6/2012 12:50,0,0,0,0,0,0,0,0
7/6/2012 14:50,0,0,0,0,0,0,0,0
7/6/2012 15:20,1.975,2.388,2.412,2.376,2.581,2.418,2.612,2.03
7/6/2012 15:50,3.95,4.378,4.02,4.356,4.367,4.836,4.624,4.263
7/6/2012 16:20,4.345,4.378,4.02,4.157,4.565,4.836,4.622,4.06
7/6/2012 16:50,3.753,4.378,4.02,4.159,4.169,4.03,4.222,4.06
7/6/2012 17:20,2.567,2.585,2.412,2.772,2.58,3.224,2.814,2.639
7/6/2012 17:50,3.16,3.783,3.818,3.564,3.97,3.627,3.618,3.248
7/6/2012 18:20,0.198,0,0.202,0,0,0,0.2,0
7/6/2012 18:50,0,0,0,0,0,0,0,0
7/7/2012 19:10,0,0,0,0,0,0,0,0
7/7/2012 19:40,21.33,21.492,20.1,20.393,20.247,22.165,21.104,21.518
7/7/2012 20:10,2.765,2.589,2.614,2.573,2.779,2.62,2.614,2.842
7/7/2012 20:40,0.988,1.194,1.206,1.188,1.191,1.209,1.206,0.812
7/7/2012 21:10,0,0,0,0,0,0,0,0
7/19/2012 3:10,0,0,0,0,0,0,0,0
7/19/2012 3:40,2.765,2.388,2.01,2.573,2.58,2.418,2.412,2.436
7/19/2012 4:10,8.098,9.154,9.85,9.108,9.33,9.672,9.446,8.323
7/19/2012 4:40,5.925,5.572,5.426,5.743,5.756,5.642,5.628,5.887
7/19/2012 5:10,2.37,2.388,2.412,2.376,2.382,2.419,2.412,2.03
7/19/2012 5:40,1.185,1.194,1.206,1.188,1.191,1.007,1.206,1.218
7/19/2012 6:10,0.395,0.398,0.402,0.396,0.397,0.403,0.402,0.406
7/19/2012 6:40,0,0,0,0,0,0,0,0
8/5/2012 16:25,0,0,0,0,0,0,0,0
8/5/2012 16:55,37.13,42.381,36.784,42.368,43.274,38.488,41.004,35.728
8/5/2012 17:25,0.79,0.997,0.804,1.19,1.192,1.611,0.804,1.015
8/5/2012 17:55,0,0,0,0,0,0,0,0
8/15/2012 15:55,0,0,0,0,0,0,0,0
8/15/2012 16:25,6.32,6.762,7.236,6.73,6.947,6.247,6.834,6.293
8/15/2012 16:55,16.985,19.506,19.698,19.006,19.254,18.136,18.894,18.473
8/15/2012 17:25,4.543,5.174,5.226,5.747,5.36,6.044,4.824,5.684
8/15/2012 17:55,2.37,2.388,2.212,2.376,2.382,2.62,2.412,2.639
8/15/2012 18:25,0,0,0,0,0,0,0,0
5/14/2013 21:00,0,0,0,0,0,0,0,0
5/14/2013 21:30,0.6,0.599,0.402,0.396,0.397,0.597,0.398,0.609
5/14/2013 22:00,0.4,0.398,0.402,0.396,0.397,0.397,0.796,0.406
5/14/2013 22:30,0.8,0.796,0.804,0.792,0.993,0.794,0.796,0.812
5/14/2013 23:00,0.8,0.796,0.604,0.792,0.595,0.794,0.796,0.609
5/14/2013 23:30,0.8,0.993,1.004,0.989,1.191,1.191,0.796,1.015
5/15/2013 0:00,1.2,1.194,0.804,0.991,1.191,0.991,1.194,1.015
5/15/2013 0:30,1.6,1.395,1.608,1.584,1.588,1.588,1.592,1.421
5/15/2013 1:00,2.4,2.786,2.614,2.772,2.779,2.779,2.584,2.639
5/15/2013 1:30,2.6,2.786,2.412,2.772,2.977,2.779,2.786,2.436
5/15/2013 2:00,3,3.184,2.814,2.969,3.176,3.376,3.184,3.248
5/15/2013 2:30,3.6,3.783,3.82,3.96,3.97,3.97,3.778,3.654
5/15/2013 3:00,4.8,5.174,4.824,4.752,5.161,4.961,5.174,4.669
5/15/2013 3:30,3.4,3.582,3.216,3.564,3.573,3.773,3.582,3.248
5/15/2013 4:00,3.8,4.181,4.22,4.157,4.367,4.564,4.176,4.06
5/15/2013 4:30,3,2.786,3.016,3.168,3.374,2.779,3.184,2.639
5/15/2013 5:00,0,0.398,0.2,0.396,0.199,0.397,0.398,0.203
5/15/2013 5:30,0,0,0,0,0,0,0,0
7/23/2013 6:25,0,0,0,0,0,0,0,0
7/23/2013 6:55,11.909,12.338,12.664,12.672,12.505,12.307,12.332,13.601
7/23/2013 7:25,5.558,6.368,6.03,5.94,5.955,5.955,5.572,6.09
7/23/2013 7:55,4.367,4.977,5.428,5.148,5.161,5.161,5.174,5.075
7/23/2013 8:25,0.397,0.398,0.2,0.396,0.397,0.397,0.196,0.406
7/23/2013 8:55,0,0,0,0,0,0,0,0
7/27/2013 21:25,0,0,0,0,0,0,0,0
7/27/2013 21:55,0.794,0.796,0.804,0.792,0.794,0.794,0.796,0.812
7/27/2013 22:25,1.588,1.793,1.608,1.783,1.786,1.785,1.99,1.624
7/27/2013 22:55,2.382,2.585,2.814,2.573,2.581,2.779,2.388,2.639
7/27/2013 23:25,0.794,0.997,0.804,1.188,1.191,0.994,1.194,1.015
7/27/2013 23:55,3.374,3.184,3.418,3.168,2.977,3.176,3.184,3.045
7/28/2013 0:25,7.543,8.358,8.442,8.117,8.139,8.137,8.156,8.729
7/28/2013 0:55,4.764,4.776,4.824,4.752,4.962,5.161,4.972,4.872
7/28/2013 1:25,1.985,2.388,2.412,2.376,2.184,1.985,2.388,2.03
7/28/2013 1:55,2.58,2.589,2.412,2.376,2.58,2.779,2.584,2.639
7/28/2013 2:25,5.558,5.97,6.232,5.94,5.955,6.152,5.97,6.09
7/28/2013 2:55,1.787,1.99,1.608,1.98,1.985,1.788,1.788,1.421
7/28/2013 3:25,0.992,0.796,0.804,0.792,0.993,0.794,0.796,0.812
7/28/2013 3:55,5.756,6.368,5.83,6.336,5.955,5.952,5.97,5.684
7/28/2013 4:25,16.078,15.522,14.674,15.446,15.086,13.698,14.518,14.413
7/28/2013 4:55,11.116,11.739,10.854,11.285,11.712,10.719,10.146,10.759
7/28/2013 5:25,3.573,3.582,3.618,3.761,3.573,3.573,3.778,3.248
7/28/2013 5:55,0.397,0.398,0.402,0.199,0.397,0.197,0,0.406
7/28/2013 6:25,0,0,0,0,0,0,0,0
